FROM    TO      補正係数
0.0	1.0	1.00
1.0	1.1	0.85
1.1	1.2	0.93
1.2	1.3	0.95
1.3	1.4	0.95
1.4	1.5	0.99
1.5	1.6	1.01
1.6	1.7	1.02
1.7	1.8	1.05
1.8	1.9	1.04
1.9	2.0	1.04
2.0	2.1	1.02
2.1	2.2	1.02
2.2	2.3	1.03
2.3	2.4	1.02
2.4	2.5	0.99
2.5	2.6	1.01
2.6	2.7	1.00
2.7	2.8	0.98
2.8	2.9	1.05
2.9	3.0	1.04
3.0	3.1	1.05
3.1	3.2	1.02
3.2	3.3	1.00
3.3	3.4	1.03
3.4	3.5	0.95
3.5	3.6	0.99
3.6	3.7	1.03
3.7	3.8	0.94
3.8	3.9	0.99
3.9	4.0	1.02
4.0	4.1	1.07
4.1	4.2	1.00
4.2	4.3	1.04
4.3	4.4	1.04
4.4	4.5	0.99
4.5	4.6	0.98
4.6	4.7	1.01
4.7	4.8	1.06
4.8	4.9	1.00
4.9	5.0	1.06
5.0	5.2	1.02
5.2	5.4	1.01
5.4	5.6	0.98
5.6	5.8	0.94
5.8	6.0	0.99
6.0	6.2	1.06
6.2	6.4	1.18
6.4	6.6	1.01
6.6	6.8	0.98
6.8	7.0	0.99
7.0	7.2	0.93
7.2	7.4	0.97
7.4	7.6	1.10
7.6	7.8	1.09
7.8	8.0	1.01
8.0	8.2	1.09
8.2	8.4	0.95
8.4	8.6	0.97
8.6	8.8	0.97
8.8	9.0	1.08
9.0	9.2	1.06
9.2	9.4	1.08
9.4	9.6	1.11
9.6	9.8	0.93
9.8	10.0	1.06
10.0	10.5	1.07
10.5	11.0	1.07
11.0	11.5	1.08
11.5	12.0	1.10
12.0	12.5	0.97
12.5	13.0	1.03
13.0	13.5	1.07
13.5	14.0	1.15
14.0	14.5	1.09
14.5	15.0	0.98
15.0	15.5	1.15
15.5	16.0	1.01
16.0	16.5	0.96
16.5	17.0	1.10
17.0	17.5	1.37
17.5	18.0	1.17
18.0	18.5	1.19
18.5	19.0	1.22
19.0	19.5	1.43
19.5	20.0	1.33
20.0	21.0	1.35
21.0	22.0	1.44
22.0	23.0	1.32
23.0	24.0	1.29
24.0	25.0	1.46
25.0	26.0	1.33
26.0	27.0	1.37
27.0	28.0	1.72
28.0	29.0	1.42
29.0	30.0	2.03
30.0	32.0	1.55
32.0	34.0	1.87
34.0	36.0	1.81
36.0	38.0	2.37
38.0	40.0	1.81
40.0	45.0	2.18
45.0	50.0	2.35
50.0	55.0	3.01
55.0	60.0	2.62
60.0	70.0	4.23
70.0	999999.9	5.06
